route_id,route_color,route_grade,type,category,wall,offset,rating,start_date,end_date
4d02f4745343f8a7df26f3c96b968019,Lime Green,5.8,route,Routes Yellow Wall,wall-back-wall,1251.7,3.67,2020-02-20,
115c465f1f6053f72e5dc812c7732f0a,Yellow,5.11c,route,Routes Lead Cave,wall-back-wall,560.9,3.5,2020-01-15,
fc0e1679483f63110e787d1e1d2561dd,Purple,5.11d,route,Routes Yellow Wall,wall-back-wall,1309.3,5.0,2020-02-23,
4bdda810108d228def6941d092a976a5,Yellow,5.6,route,Routes Auto Belays,wall-auto-belay,251.1,3.43,2019-11-21,2020-02-04
22c9bc57f6c78417bf845cef7f172554,White,5.6,route,Routes Auto Belays,wall-auto-belay,223.4,3.67,2019-11-19,2020-01-29
9ca9a4cbe9b1e566b8259e1f75fba4e7,Tan,5.7,route,Routes Auto Belays,wall-auto-belay,304.0,3.89,2019-11-21,2020-02-05
948216317be0497afa5f43d129131bc2,Lime Green,5.7,route,Routes Auto Belays,wall-auto-belay,198.2,3.62,2019-11-19,2020-02-04
32c346b8060d1e7ddc9e7ef8a414dc45,Blue,5.8,route,Routes Auto Belays,wall-auto-belay,274.3,4.0,2019-11-21,2020-02-06
a5cc5d3c8f73b9e95d040c3a58629ba1,Purple,5.8,route,Routes Auto Belays,wall-auto-belay,222.7,3.78,2019-11-19,2020-01-29
7224cb9ec952f72a64bc57ada47a5009,White,5.8,route,Routes Auto Belays,wall-auto-belay,174.9,3.5,2019-11-19,2020-01-29
cbc5310c51acead8ca3b9d4d27374afb,Lime Green,5.8,route,Routes Auto Belays,wall-auto-belay,149.5,4.0,2019-11-13,2020-02-02
8d7b53207cde200fc8b8e23e4db20206,Lime Green,5.9,route,Routes Auto Belays,wall-auto-belay,250.5,4.0,2019-11-21,2020-02-04
a34a395e57877a93cf1bc8978f4b8ffd,Blue,5.9,route,Routes Auto Belays,wall-auto-belay,197.6,4.11,2019-11-19,2020-02-04
