route_id,route_color,route_grade,type,category,wall,offset,rating,start_date,end_date,month
7f52d2123e95be5e9e7d32b532baa8b1,Tan,5.11b,route,Routes Red Wall,wall-red,261.8,4.5,2019-02-15,2019-04-21,2019-02
ceafab2dbd4cc2a741ab9b54ecf3d1d4,Green,5.6,route,Routes Fox Wall,wall-fox,123.6,4.0,2019-02-01,2019-08-07,2019-02
add1024b1528aec864a3a8fe04513927,Orange,5.5,route,Routes Fox Wall,wall-fox,156.6,5.0,2019-02-05,2019-07-24,2019-02
fba11d41d8728fdb1d35242a1c9094f8,Orange,5.7,route,Routes Fox Wall,wall-fox,155.9,4.0,2019-02-05,2019-07-24,2019-02
d463b7958d3103097d353e96c056ae0b,White,5.7,route,Routes Fox Wall,wall-fox,122.9,,2019-02-01,2019-08-07,2019-02
cd2c480c6bd2409006ac3ab4f5cd4852,Blue,5.5,route,Routes Fox Wall,wall-fox,92.1,5.0,2019-02-01,2019-02-17,2019-02
ba9819bd734e97cc77eee2eef311bb97,Orange,5.7,route,Routes Fox Wall,wall-fox,91.4,,2019-02-18,2019-07-23,2019-02
76a062e293226f05162a9ca25783ec3a,White,5.6,route,Routes Fox Wall,wall-fox,67.2,5.0,2019-02-13,2019-07-25,2019-02
efcdd61fdcbb9be256a30ee59c918e51,Yellow,5.7,route,Routes Right of Auto Belay,wall-auto-belay,68.9,4.0,2019-02-18,2019-07-09,2019-02
793bac71f161c4bf54bff99b196379e3,White,5.8,route,Routes Right of Auto Belay,wall-auto-belay,45.9,,2019-02-18,2019-07-09,2019-02
0d3aa7733106900faf4fb2da5b20f62f,Black,5.9,route,Routes Right of Auto Belay,wall-auto-belay,19.7,4.5,2019-02-19,2019-07-12,2019-02
3b63588f6c73e8147007db3e4998614b,Pink,5.11a,route,Routes Right of Auto Belay,wall-auto-belay,20.3,4.0,2019-02-19,2019-07-12,2019-02
61a9b8dcb4dfad88dd1b3356322e63dd,Grey,5.8,route,Routes Fox Wall,wall-fox,198.8,,2019-02-17,2019-07-23,2019-02
d3144970aff425a32c9eab2f8e8a6173,Yellow,5.7,route,Routes Fox Wall,wall-fox,66.4,,2019-02-13,2019-07-25,2019-02
