route_id,route_color,route_grade,type,category,wall,offset,rating,start_date,end_date
b64a6ec5ac8e4cd8b62e6b0005a64f05,Lime Green,V7,boulder,Bouldering Buddha,wall-boulders,423.0,5.0,2020-03-09,
0703ceed94217615839eb5ec976f1643,Purple,V3,boulder,Bouldering Buddha,wall-boulders,423.0,4.0,2020-03-09,
6aac2f225db5c9908cea0de74e966c37,Tan,V7,boulder,Bouldering Buddha,wall-boulders,423.0,5.0,2020-03-09,
f3fc7d4051fda800ee0490a827320d3e,Pink,5.12c,route,Routes Island Low Bay Left,wall-island,603.0,4.5,2020-03-01,
8791bd6c22a32b331ff6aff94b142afc,Red,V0,boulder,Bouldering Mezzanine,wall-mezzanine,114.6,,2020-03-07,
b2e0d38a015ec08fadf68b3d3b3faf2f,Blue,V2,boulder,Bouldering Mezzanine,wall-mezzanine,114.6,5.0,2020-03-07,
9338713fd0a8e224af039e5b63b14e13,Blue,V2,boulder,Bouldering Mezzanine,wall-mezzanine,39.7,5.0,2020-03-07,
851d46b22e4a65effe3ba5e1ae7c8868,Purple,5.11d,route,Routes Red Wall,wall-red,132.5,,2020-03-11,
5292cff6e8ba2ec9e6ab22a12037a49e,Yellow,V4,boulder,Bouldering 45,wall-boulders,793.8,3.67,2020-03-07,
5c96390726dd7695c4257bd16f184591,Pink,V3,boulder,Bouldering Prow,wall-boulders,87.1,4.0,2020-03-07,
b99ce7245c886aeba1e11302348837a0,Blue,V3,boulder,Bouldering Slab,wall-slab,192.9,,2020-03-07,
018e24449d90d45363a0f5c0c10d952c,Pink,V4,boulder,Bouldering Slab,wall-slab,48.7,4.0,2020-03-09,
67b8a959e83191c8f04b2bb8bfd7fa13,Yellow,V4,boulder,Bouldering Buddha,wall-boulders,505.7,4.0,2020-03-07,
c85781eb73441c6cd13934d952fc25c3,Black,V0,boulder,Bouldering Mezzanine,wall-mezzanine,114.6,,2020-03-07,
f39d32e2c3a5125c7916dbe6c85af49a,Pink,V4,boulder,Bouldering Mezzanine,wall-mezzanine,39.7,4.0,2020-03-07,
412ff5f448845b972d2007f10367c3f8,Yellow,V4,boulder,Bouldering Prow,wall-boulders,161.2,4.0,2020-03-07,
a8c39ee50fd9eaae893081ee260526de,Black,V3,boulder,Bouldering Prow,wall-boulders,222.0,4.0,2020-03-07,
6cfd285a8a2ecd7a013a76309cafa5fb,Yellow,V5,boulder,Bouldering Mezzanine,wall-mezzanine,39.7,4.5,2020-03-07,
06320599618fc2aef903380548f68e02,White,V6,boulder,Bouldering Mezzanine,wall-mezzanine,114.6,3.25,2020-03-07,
2cff125b73dfd57e6116943ef78cd727,Women’s Final 4,V8,boulder,Bouldering Buddha,wall-boulders,423.0,,2020-03-09,
0b74f4e561a211b37ab566eecdddb1ac,Men’s Final 1,V9,boulder,Bouldering Prow,wall-boulders,222.0,,2020-03-07,
e7e6fee24b32d86aecd08f2feed845de,Yellow,V8,boulder,Bouldering Slab,wall-slab,48.7,5.0,2020-03-09,
8e51ec8786587633a9114a7c6042c112,Lime Green,5.5,route,Routes Right of Auto Belay,wall-auto-belay,125.1,5.0,2020-03-06,
3e23894ae0cc0ef00641318fb7f69964,Purple Ice,3-4,route,Routes Island Low Bay Left,wall-island,267.5,,2020-03-09,
0a505f0b533441b71fabefa4624099f0,Lime Green Ice,3-4,route,Routes Island Low Bay Left,wall-island,20.8,,2020-03-01,
6dc5e2aa96a919da587ac14a00477e51,Purple,V7,boulder,Bouldering Prow,wall-boulders,87.1,3.0,2020-03-07,
459c2a54dad9a02239cba685c4b036fb,White,V8,boulder,Bouldering 3D,wall-boulders,288.8,5.0,2020-03-07,
0a24f5969007dea5a53c765f5be81bfc,Black,V7,boulder,Bouldering Buddha,wall-boulders,505.7,4.5,2020-03-07,
a7bee3746dab86c08ddd9cf038b2b6d3,Pink,V7,boulder,Bouldering 45,wall-boulders,793.8,5.0,2020-03-07,
29ed62ca982fac4e1b44a15ee1a458c6,Pink,5.6,route,Routes Fox Wall,wall-fox,123.6,,2020-03-06,
